url,text,chapter_audio
https://www.jw.org/fon/nus%C9%9Bxwet%C9%9Bn/wema-l%C9%9B/kple%C9%96okp%C9%94-%C9%96axo-2020-t%C9%94n-sin-tuto/ax%C9%94suzangbe/,Axɔ́suzángbe,
https://www.jw.org/fon/nus%C9%9Bxwet%C9%9Bn/wema-l%C9%9B/kple%C9%96okp%C9%94-%C9%96axo-2020-t%C9%94n-sin-tuto/ax%C9%94suzangbe/,"“Mi jɛ awǎ hwebǐnu, ɖó mi ɖò bǔ ɖò Aklunɔ mɛ; un ɖò vivɔ ɖɔ wɛ ɖɔ mi ni jɛ awǎ”!—Filipunu lɛ 4:4",
https://www.jw.org/fon/nus%C9%9Bxwet%C9%9Bn/wema-l%C9%9B/kple%C9%96okp%C9%94-%C9%96axo-2020-t%C9%94n-sin-tuto/ax%C9%94suzangbe/,9:20 Nǔxixo Sín Video,
https://www.jw.org/fon/nus%C9%9Bxwet%C9%9Bn/wema-l%C9%9B/kple%C9%96okp%C9%94-%C9%96axo-2020-t%C9%94n-sin-tuto/ax%C9%94suzangbe/,9:30 Han 111 kpo Ðɛ Kpo,
https://www.jw.org/fon/nus%C9%9Bxwet%C9%9Bn/wema-l%C9%9B/kple%C9%96okp%C9%94-%C9%96axo-2020-t%C9%94n-sin-tuto/ax%C9%94suzangbe/,"9:40 XÓÐIÐƆ ZINKPONƆ TƆN: Nǔ E Wu Jehovah Nyí “Mawu Awǎjijɛnɔ” É (1 Timɔtée 1:11, nwt)",
https://www.jw.org/fon/nus%C9%9Bxwet%C9%9Bn/wema-l%C9%9B/kple%C9%96okp%C9%94-%C9%96axo-2020-t%C9%94n-sin-tuto/ax%C9%94suzangbe/,10:15 XÓMÁÐƆ: Etɛ ka Nɔ Gɔ́ Sò nú Awǎjijɛ?,
https://www.jw.org/fon/nus%C9%9Bxwet%C9%9Bn/wema-l%C9%9B/kple%C9%96okp%C9%94-%C9%96axo-2020-t%C9%94n-sin-tuto/ax%C9%94suzangbe/,• Gbɛ̀ E Bɔkun É ɖé Zinzan (Nǔnywɛtɔ́xó 5:11),
https://www.jw.org/fon/nus%C9%9Bxwet%C9%9Bn/wema-l%C9%9B/kple%C9%96okp%C9%94-%C9%96axo-2020-t%C9%94n-sin-tuto/ax%C9%94suzangbe/,• Ayixa Mímɛ́ ɖé Ðiɖó (Ðɛhan 19:9),
https://www.jw.org/fon/nus%C9%9Bxwet%C9%9Bn/wema-l%C9%9B/kple%C9%96okp%C9%94-%C9%96axo-2020-t%C9%94n-sin-tuto/ax%C9%94suzangbe/,• Azɔ̌ E Ðó Nu É Ðé (Nǔnywɛtɔ́xó 4:6; 1 Kɔlɛntinu lɛ 15:58),
https://www.jw.org/fon/nus%C9%9Bxwet%C9%9Bn/wema-l%C9%9B/kple%C9%96okp%C9%94-%C9%96axo-2020-t%C9%94n-sin-tuto/ax%C9%94suzangbe/,"• Xɔ́ntɔn Nǔgbo lɛ Zunzun (Nǔnywɛxó 18:24; 19:4, 6, 7)",
https://www.jw.org/fon/nus%C9%9Bxwet%C9%9Bn/wema-l%C9%9B/kple%C9%96okp%C9%94-%C9%96axo-2020-t%C9%94n-sin-tuto/ax%C9%94suzangbe/,11:05 Han 89 kpo Ðɔnúese lɛ Kpo,
https://www.jw.org/fon/nus%C9%9Bxwet%C9%9Bn/wema-l%C9%9B/kple%C9%96okp%C9%94-%C9%96axo-2020-t%C9%94n-sin-tuto/ax%C9%94suzangbe/,"11:15 NǓ-SÈ-DÓ-KPLƆ́N-NǓ: ‘Jehovah Na Ye Awǎjijɛ’ (Ɛsidlasi 1:1–6:22; Ajée 1:2-11; 2:3-9; Zakalíi 1:12-16; 2:11-13; 3:1, 2; 4:6a, 6b, 7)",
